corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00102113,consolidated,2006,2007,121277652287,1576316404,native,native
00103592,separate,2006,2007,49503189620,5016880509,native,native
00105101,separate,2003,2004,279612000000,16918000000,native,native
00107677,consolidated,2004,2005,0,0,native,native
00107677,consolidated,2005,2006,0,0,native,native
00108746,consolidated,2009,2010,44890090,,native,native
00108977,consolidated,2009,2010,0,0,native,native
00108977,consolidated,2010,2011,0,0,native,native
00109514,separate,2004,2005,5335096000,1437893000,native,native
00112378,consolidated,2006,2007,119982559487,2430658812,native,native
00112457,separate,2006,2007,9756000000,-445000000,native,native
00113359,separate,2015,2016,0,,native,native
00113359,separate,2016,2017,0,,native,native
00113359,separate,2017,2018,0,,native,native
00113359,separate,2018,2019,0,,native,native
00113410,separate,2004,2005,285968000000,16590000000,native,native
00113410,separate,2006,2007,172813000000,17139000000,native,native
00113492,separate,2004,2005,97057556020,4969475300,native,native
00117601,separate,2016,2017,0,,native,native
00117601,separate,2017,2018,0,,native,native
00121534,separate,2002,2003,6923646291,1713016866,native,native
00122348,consolidated,2004,2005,0,0,recomposed,recomposed
00122348,consolidated,2005,2006,0,0,recomposed,recomposed
00122348,consolidated,2006,2007,0,0,recomposed,recomposed
00122348,consolidated,2007,2008,0,0,recomposed,recomposed
00125822,separate,2006,2007,49580732167,64677883,native,native
00126414,separate,2005,2006,7165931373,218971735,native,native
00126487,consolidated,2004,2005,-202816848774,11651870065,native,native
00126487,consolidated,2005,2006,-202816848774,11651870065,native,native
00129350,separate,2004,2005,20166323166,-91224030,native,native
00131939,consolidated,2009,2010,40080581644,-1835955640,native,native
00133858,separate,2003,2004,66263365398,703258099,native,native
00134316,consolidated,2005,2006,0,0,recomposed,recomposed
00134316,consolidated,2006,2007,0,0,recomposed,recomposed
00134316,consolidated,2007,2008,0,0,recomposed,recomposed
00134316,consolidated,2010,2011,0,0,recomposed,recomposed
00148984,separate,2005,2006,76562373000,5714004000,native,native
00150536,separate,2003,2004,7938590229,1791937301,native,native
00150828,consolidated,2005,2006,210709833204,5411757425,native,native
00152260,separate,2006,2007,17731568866,1257706743,native,native
00155452,separate,2006,2007,10024091520,1338677027,native,native
00160375,consolidated,2007,2008,32373101994,902346187,native,native
00163196,separate,2006,2007,29675455022,815085905,native,native
00163345,separate,2004,2005,58678315402,3439725419,native,native
00163673,separate,2005,2006,506707000000,16766000000,native,native
00166175,separate,2004,2005,13649524506,1074927415,native,native
00184889,consolidated,2004,2005,0,0,native,native
00184889,consolidated,2008,2009,264302595174,10246772607,native,native
00210980,separate,2003,2004,13648333000,781089000,native,native
00231354,consolidated,2016,2017,31060654297,1644767834,native,native
00269940,consolidated,2007,2008,178190791744,28749590086,native,native
00346407,consolidated,2007,2008,98283845944,8290835547,native,native
00370006,separate,2006,2007,7077897179,1916550625,native,native
00470829,consolidated,2007,2008,43141828161,2339914780,native,native
00508274,separate,2004,2005,12939780397,760942558,native,native
00599106,separate,2006,2007,2771273526,75535660,native,native
00620558,separate,2016,2017,12059574969,1680238898,native,native
00778235,consolidated,2019,2020,2440865014,705261477,native,native
00878915,separate,2016,2017,22000000,,native,native
01344336,separate,2018,2019,120869166,-831161908,native,native
